taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
9989564	4cec8fef-f129-4966-89b7-4f8439aba058	1339658			BOLD:AAK6357						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
10257441	4cec8fef-f129-4966-89b7-4f8439aba058	5039606			BOLD:ACG7192						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Biastes
10543733	4cec8fef-f129-4966-89b7-4f8439aba058	1339662			BOLD:AAX3458						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
9904047	4cec8fef-f129-4966-89b7-4f8439aba058	1339656			BOLD:AAX3454						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
10147634	4cec8fef-f129-4966-89b7-4f8439aba058	1339659			BOLD:AAX3455						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
9131089	d7dddbf4-2cf0-4f39-9b2a-bb099caae36c	1339660			Macrogalea candida candida		Macrogalea candida candida	Macrogalea	candida	candida	subspecies			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
7540665	da38f103-4410-43d1-b716-ea6b1b92bbac	1339660			Macrogalea candida otaviensis Cockerell	Cockerell	Macrogalea candida otaviensis	Macrogalea	candida	otaviensis	subspecies		Cockerell, T.D.A. 1936. Descriptions and records of bees.—CLII. Annals and Magazine of Natural History 17 (ser. 10): 24-31	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
10298663	4cec8fef-f129-4966-89b7-4f8439aba058	1339660			BOLD:ACH9923						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
10384496	4cec8fef-f129-4966-89b7-4f8439aba058	1339660			BOLD:AAF5706						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
10707480	4cec8fef-f129-4966-89b7-4f8439aba058	1339663			BOLD:AED1382						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Macrogalea
10816362	4cec8fef-f129-4966-89b7-4f8439aba058	1344927			BOLD:AED5080						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Coelioxoides
10018686	4cec8fef-f129-4966-89b7-4f8439aba058	1340157			BOLD:ABU6923						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Caenonomada
10815829	4cec8fef-f129-4966-89b7-4f8439aba058	1340157			BOLD:AED3521						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Caenonomada
10659149	4cec8fef-f129-4966-89b7-4f8439aba058	1340158			BOLD:AAJ8638						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Caenonomada
9995996	4cec8fef-f129-4966-89b7-4f8439aba058	1340688			BOLD:AAY4060						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Alloscirtetica
10025434	4cec8fef-f129-4966-89b7-4f8439aba058	1340156			BOLD:ABA8421						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Caenonomada
10636308	4cec8fef-f129-4966-89b7-4f8439aba058	1340693			BOLD:AAJ3478						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Alloscirtetica
10048203	4cec8fef-f129-4966-89b7-4f8439aba058	1340712			BOLD:AAW1765						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Alloscirtetica
7216146	7ddf754f-d193-4cc9-b351-99906754a03b	1340791			Holcopasites calliopsidis calliopsidis	(Linsley, 1943)	Holcopasites calliopsidis calliopsidis	Holcopasites	calliopsidis	calliopsidis	subspecies			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Holcopasites
10476263	4cec8fef-f129-4966-89b7-4f8439aba058	1340791			BOLD:AAE5391						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Holcopasites
6252733	7ddf754f-d193-4cc9-b351-99906754a03b	1340791			Holcopasites calliopsidis carinatus (Linsley, 1943)	(Linsley, 1943)	Holcopasites calliopsidis carinatus	Holcopasites	calliopsidis	carinatus	subspecies			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Holcopasites
9889901	4cec8fef-f129-4966-89b7-4f8439aba058	1340786			BOLD:AAK6011						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Holcopasites
9837228	4cec8fef-f129-4966-89b7-4f8439aba058	1340783			BOLD:AAI8222						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Holcopasites
10207249	4cec8fef-f129-4966-89b7-4f8439aba058	1340790			BOLD:AAI8224						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Holcopasites
10452093	4cec8fef-f129-4966-89b7-4f8439aba058	1340785			BOLD:AAF0725						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Holcopasites
10341448	4cec8fef-f129-4966-89b7-4f8439aba058	1344627			BOLD:AAY4594						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Exoneura
11702692	4cec8fef-f129-4966-89b7-4f8439aba058	1344651			BOLD:AEC3975						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Exoneura
